Time,X,Y,Z,Displacement [mm]
2025-11-07T15:22:54.423,       0.00,        0.00,        0.00,        NaN
2025-11-07T15:22:54.423,       0.00,        0.00,        0.00,        NaN
2025-11-07T15:22:54.484,       0.00,        0.00,        0.00,        NaN
2025-11-07T15:23:04.545,        NaN,         NaN,         NaN,        NaN
2025-11-07T15:23:04.546,       0.00,        0.00,        0.00,       0.00
2025-11-07T15:23:05.061,      -0.01,        0.01,       -0.04,       0.04
2025-11-07T15:23:05.578,      -0.02,        0.00,       -0.02,       0.03
2025-11-07T15:23:06.097,       0.00,       -0.02,       -0.02,       0.03
2025-11-07T15:23:06.610,       0.00,        0.00,       -0.04,       0.04
2025-11-07T15:23:07.163,      -0.01,       -0.01,       -0.04,       0.04
2025-11-07T15:23:07.692,       0.01,       -0.01,       -0.01,       0.01
2025-11-07T15:23:08.192,       0.01,        0.00,        0.01,       0.01
2025-11-07T15:23:08.707,       0.00,       -0.01,       -0.01,       0.01
2025-11-07T15:23:09.224,      -0.01,       -0.00,        0.04,       0.04
2025-11-07T15:23:09.727,      -0.00,        0.01,       -0.01,       0.01
2025-11-07T15:23:10.239,      -0.00,       -0.01,       -0.03,       0.03
2025-11-07T15:23:10.755,      -0.01,       -0.01,       -0.00,       0.02
2025-11-07T15:23:11.272,      -0.01,       -0.01,       -0.06,       0.06
2025-11-07T15:23:11.791,       0.00,       -0.00,       -0.03,       0.03
2025-11-07T15:23:12.307,      -0.00,        0.00,        0.00,       0.00
2025-11-07T15:23:12.871,      -0.00,       -0.00,        0.02,       0.02
2025-11-07T15:23:13.423,       0.03,       -0.01,       -0.05,       0.06
2025-11-07T15:23:13.938,      -0.00,        0.00,        0.01,       0.01
2025-11-07T15:23:14.451,      -0.01,       -0.01,       -0.00,       0.01
2025-11-07T15:23:14.968,      -0.00,       -0.00,       -0.02,       0.02
2025-11-07T15:23:15.470,       0.00,       -0.01,       -0.05,       0.05
2025-11-07T15:23:15.986,      -0.00,       -0.02,        0.00,       0.02
2025-11-07T15:23:16.499,      -0.01,        0.00,        0.00,       0.01
2025-11-07T15:23:17.017,      -0.00,       -0.00,       -0.05,       0.05
2025-11-07T15:23:17.519,       0.01,       -0.02,       -0.04,       0.05
2025-11-07T15:23:18.034,       0.01,       -0.01,       -0.02,       0.02
2025-11-07T15:23:18.547,       0.00,       -0.02,       -0.08,       0.08
2025-11-07T15:23:19.064,       0.00,       -0.01,       -0.04,       0.04
2025-11-07T15:23:19.579,       0.00,       -0.00,        0.02,       0.02
2025-11-07T15:23:20.082,       0.00,       -0.01,        0.01,       0.02
2025-11-07T15:23:20.595,       0.01,        0.01,        0.00,       0.02
2025-11-07T15:23:21.112,       0.01,       -0.01,       -0.03,       0.03
2025-11-07T15:23:21.626,       0.01,       -0.00,        0.02,       0.02
2025-11-07T15:23:22.126,       0.00,        0.01,       -0.03,       0.03
2025-11-07T15:23:22.643,       0.01,       -0.01,       -0.03,       0.03
2025-11-07T15:23:23.159,      -0.00,       -0.00,       -0.03,       0.03
2025-11-07T15:23:23.677,      -0.01,        0.01,        0.00,       0.02
2025-11-07T15:23:24.193,      -0.01,       -0.00,       -0.00,       0.01
2025-11-07T15:23:24.761,      -0.00,       -0.00,        0.00,       0.00
2025-11-07T15:23:25.273,       0.01,        0.00,       -0.02,       0.02
2025-11-07T15:23:25.776,      -0.01,       -0.01,       -0.02,       0.02
2025-11-07T15:23:26.292,      -0.00,        0.00,       -0.01,       0.01
2025-11-07T15:23:26.806,      -0.00,        0.01,        0.03,       0.03
2025-11-07T15:23:27.320,       0.01,        0.00,       -0.04,       0.04
2025-11-07T15:23:27.823,       0.00,       -0.03,       -0.03,       0.04
2025-11-07T15:23:28.339,       0.00,       -0.01,       -0.02,       0.02
2025-11-07T15:23:28.853,       0.01,       -0.00,       -0.03,       0.03
2025-11-07T15:23:29.369,       0.01,       -0.00,       -0.02,       0.02
2025-11-07T15:23:29.884,      -0.00,        0.00,       -0.06,       0.06
2025-11-07T15:23:30.387,       0.01,       -0.00,        0.01,       0.02
2025-11-07T15:23:30.902,       0.00,        0.02,        0.01,       0.02
2025-11-07T15:23:31.416,       0.02,       -0.01,       -0.04,       0.04
2025-11-07T15:23:31.932,       0.01,       -0.00,       -0.04,       0.04
